Product Name,Category,Region,Quantity,Sales,Profit
Mouse,Accessories,East,3,3474,565.0
Monitor,Accessories,South,8,1296,273.97
Tablet,Electronics,North,9,9234,2523.67
Headphones,Accessories,South,7,3941,628.96
Keyboard,Accessories,East,6,6372,570.75
Mouse,Accessories,North,8,6600,360.45
Headphones,Accessories,North,8,1240,251.2
Camera,Electronics,North,7,2723,638.26
Headphones,Accessories,North,2,2150,625.93
Mouse,Accessories,South,9,9378,1740.97
Printer,Office,East,6,6108,1488.4
Laptop,Electronics,North,9,711,200.11
Camera,Electronics,West,2,1686,146.39
Mouse,Accessories,East,5,3745,720.08
Laptop,Electronics,South,5,3625,563.95
Printer,Office,North,1,232,34.26
Smartphone,Electronics,South,3,2031,466.25
Tablet,Electronics,North,3,3183,358.87
Printer,Office,East,4,1412,150.13
Mouse,Accessories,South,1,71,12.02
Headphones,Accessories,South,5,3290,797.82
Smartphone,Electronics,South,7,3983,360.13
Tablet,Electronics,West,7,7623,1459.84
Laptop,Electronics,South,8,2928,663.54
Monitor,Accessories,West,5,4690,706.74
Smartwatch,Electronics,North,3,2412,640.35
Camera,Electronics,West,7,6076,788.14
Headphones,Accessories,North,1,951,127.58
Headphones,Accessories,West,4,1728,239.64
Keyboard,Accessories,West,3,2529,169.6
Headphones,Accessories,West,4,3036,511.69
Smartphone,Electronics,East,3,2139,422.52
Tablet,Electronics,North,7,2751,548.05
Printer,Office,North,1,1016,171.31
Headphones,Accessories,South,6,738,158.96
Printer,Office,West,7,5635,1185.97
Laptop,Electronics,South,1,379,84.38
Smartwatch,Electronics,East,8,3048,444.3
Printer,Office,West,1,349,42.05
Smartphone,Electronics,East,2,1668,470.42
Mouse,Accessories,East,7,3843,378.03
Tablet,Electronics,South,2,1916,503.83
Monitor,Accessories,West,2,1924,434.86
Headphones,Accessories,South,8,4904,520.74
Printer,Office,West,3,2817,588.47
Camera,Electronics,South,7,3059,873.5
Tablet,Electronics,North,9,2205,410.01
Monitor,Accessories,North,4,1060,213.05
Tablet,Electronics,North,7,3584,940.88
Printer,Office,East,7,5957,1433.85
Tablet,Electronics,East,3,1767,186.54
Printer,Office,North,4,4428,600.55
Smartphone,Electronics,North,3,231,36.73
Laptop,Electronics,West,9,7650,2130.82
Keyboard,Accessories,East,9,7425,1533.72
Smartwatch,Electronics,West,3,1308,197.6
Printer,Office,West,2,2238,294.54
Mouse,Accessories,South,4,1316,244.13
Headphones,Accessories,West,4,2384,577.26
Printer,Office,East,1,1146,152.79
Keyboard,Accessories,South,1,466,102.48
Printer,Office,South,3,222,50.28
Printer,Office,East,7,3780,351.51
Tablet,Electronics,North,6,5640,856.44
Keyboard,Accessories,East,1,717,137.27
Mouse,Accessories,East,1,745,151.22
Monitor,Accessories,West,5,4880,1250.66
Monitor,Accessories,North,5,5500,1230.98
Smartphone,Electronics,North,4,3668,839.4
Camera,Electronics,South,4,4700,619.26
Mouse,Accessories,East,8,1896,448.53
Printer,Office,West,1,684,170.36
Monitor,Accessories,East,1,513,87.58
Camera,Electronics,East,9,8055,2300.17
Tablet,Electronics,South,6,3702,407.34
Tablet,Electronics,South,7,2758,520.66
Printer,Office,South,4,1028,192.13
Keyboard,Accessories,South,2,1860,327.15
Camera,Electronics,East,7,1169,264.37
Smartwatch,Electronics,East,8,4792,511.97
Monitor,Accessories,North,6,6192,717.46
Smartphone,Electronics,North,9,6606,759.55
Smartwatch,Electronics,East,9,5337,1575.99
Laptop,Electronics,South,1,288,61.85
Headphones,Accessories,South,7,4186,655.53
Printer,Office,East,6,2100,202.86
Headphones,Accessories,West,6,5982,944.81
Monitor,Accessories,South,7,4088,230.43
Printer,Office,East,1,498,58.3
Printer,Office,North,2,1268,141.76
Monitor,Accessories,South,6,3672,1002.5
Tablet,Electronics,North,5,400,86.52
Headphones,Accessories,East,1,966,202.53
Smartwatch,Electronics,South,5,1295,104.26
Mouse,Accessories,North,6,606,104.52
Smartphone,Electronics,West,3,1830,403.42
Laptop,Electronics,North,8,8192,1822.87
Monitor,Accessories,South,1,940,120.35
Printer,Office,South,2,2224,116.47
Camera,Electronics,South,4,4056,1189.26
Smartphone,Electronics,East,7,2968,728.94
Mouse,Accessories,South,8,2112,418.58
Mouse,Accessories,West,1,1033,302.68
Smartwatch,Electronics,North,7,3255,814.85
Camera,Electronics,South,8,5352,1133.57
Smartwatch,Electronics,East,5,4405,450.83
Tablet,Electronics,South,4,1252,326.69
Smartphone,Electronics,West,2,1438,315.83
Camera,Electronics,South,2,1580,403.76
Smartphone,Electronics,South,6,3366,460.75
Laptop,Electronics,North,8,7064,1873.02
Mouse,Accessories,South,1,1159,344.22
Camera,Electronics,West,2,1716,368.06
Smartwatch,Electronics,East,3,315,61.94
Monitor,Accessories,North,8,1800,494.02
Tablet,Electronics,East,8,6728,1140.19
Keyboard,Accessories,East,3,1422,328.98
Tablet,Electronics,West,8,5416,297.5
Keyboard,Accessories,West,2,2116,159.3
Keyboard,Accessories,West,1,930,222.5
Laptop,Electronics,North,8,2880,315.87
Printer,Office,North,1,686,86.18
Printer,Office,West,8,3952,451.08
Monitor,Accessories,South,3,3075,804.06
Keyboard,Accessories,South,3,1950,211.16
Monitor,Accessories,South,6,1716,302.09
Smartwatch,Electronics,North,3,531,73.35
Keyboard,Accessories,West,5,4550,1039.34
Tablet,Electronics,North,5,855,217.16
Tablet,Electronics,West,5,595,121.11
Printer,Office,West,1,184,50.19
Monitor,Accessories,North,6,5022,291.89
Smartwatch,Electronics,North,2,522,52.73
Keyboard,Accessories,East,7,7819,1708.84
Monitor,Accessories,South,7,980,109.94
Smartwatch,Electronics,West,7,1806,129.6
Smartphone,Electronics,East,7,4529,273.97
Smartwatch,Electronics,East,3,1410,232.65
Laptop,Electronics,North,9,1350,189.13
Camera,Electronics,North,4,4648,689.85
Printer,Office,East,9,4212,552.96
Camera,Electronics,West,3,1038,219.69
Headphones,Accessories,North,8,456,74.99
Tablet,Electronics,East,7,8337,753.35
Printer,Office,West,9,7290,841.07
Tablet,Electronics,South,2,294,35.05
Laptop,Electronics,North,4,3384,947.52
Tablet,Electronics,South,6,1944,366.18
Headphones,Accessories,East,9,4914,1160.45
Headphones,Accessories,North,3,3051,201.26
Smartwatch,Electronics,North,4,2136,217.47
Camera,Electronics,West,4,1848,374.66
Laptop,Electronics,West,3,2703,609.75
Printer,Office,South,2,1518,262.65
Printer,Office,North,4,2804,391.59
Camera,Electronics,South,4,528,152.8
Tablet,Electronics,West,4,3452,560.31
Mouse,Accessories,North,6,1512,423.03
Camera,Electronics,West,4,3812,312.8
Laptop,Electronics,South,8,1840,461.21
Mouse,Accessories,West,9,7362,1866.65
Mouse,Accessories,South,4,1156,326.92
Camera,Electronics,North,2,1312,386.79
Smartphone,Electronics,West,2,2260,268.47
Tablet,Electronics,North,1,502,92.31
Smartwatch,Electronics,North,3,1890,492.31
Monitor,Accessories,West,4,1672,432.35
Tablet,Electronics,South,1,702,129.34
Mouse,Accessories,West,5,5890,309.0
Tablet,Electronics,East,5,5495,1276.27
Keyboard,Accessories,East,1,582,29.91
Tablet,Electronics,West,1,908,222.58
Mouse,Accessories,West,6,5622,1382.67
Monitor,Accessories,West,1,442,82.73
Tablet,Electronics,West,7,2282,537.71
Laptop,Electronics,West,5,3165,895.33
Printer,Office,South,7,3675,227.14
Monitor,Accessories,North,5,2880,209.58
Monitor,Accessories,South,6,4236,739.22
Mouse,Accessories,West,9,3186,483.22
Headphones,Accessories,East,3,3519,935.72
Keyboard,Accessories,West,7,2597,152.09
Smartwatch,Electronics,East,3,1452,217.06
Smartphone,Electronics,West,1,632,81.54
Mouse,Accessories,East,4,4404,793.7
Mouse,Accessories,East,4,2532,404.96
Keyboard,Accessories,West,7,1351,310.03
Printer,Office,North,3,2571,510.01
Tablet,Electronics,West,2,2132,365.44
Keyboard,Accessories,North,4,2724,229.47
Keyboard,Accessories,North,4,904,108.85
Headphones,Accessories,South,2,956,202.14
Laptop,Electronics,West,8,1392,190.99
Headphones,Accessories,East,6,1530,218.99
Printer,Office,North,2,1796,225.15
Camera,Electronics,North,3,2181,517.02
Keyboard,Accessories,North,3,633,162.4
Headphones,Accessories,North,7,952,215.51
Printer,Office,North,7,3297,583.86
Headphones,Accessories,North,4,1872,448.46
Smartphone,Electronics,East,7,5180,463.35
Monitor,Accessories,East,6,5370,1501.06
Printer,Office,South,2,1570,247.7
Smartphone,Electronics,North,6,3456,307.46
Smartphone,Electronics,West,6,7128,544.54
Camera,Electronics,South,1,189,19.02
Smartwatch,Electronics,East,9,3132,443.27
Laptop,Electronics,South,7,5285,1338.58
Keyboard,Accessories,North,4,2040,393.72
Tablet,Electronics,East,5,3530,803.86
Mouse,Accessories,West,6,3522,626.72
Printer,Office,East,7,637,68.11
Tablet,Electronics,East,5,3735,957.13
Laptop,Electronics,North,4,296,65.05
Laptop,Electronics,North,2,594,172.47
Keyboard,Accessories,South,4,2188,265.54
Camera,Electronics,South,3,1377,330.44
Keyboard,Accessories,North,1,158,46.24
Mouse,Accessories,East,3,2172,364.77
Camera,Electronics,North,7,5439,1416.62
